Primary Category,Secondary Category,Third Category,Keywords,must_word
Women's Fashion,Clothing,Dresses,dress,
Women's Fashion,Clothing,Tops,"shirt,top, blouse,t-shirt,hoodies,sweater,body suits, body suit,sweatshirt,sweat shirt,tee,singlet,tanktop,jacket",
Women's Fashion,Clothing,Pants,"pants, pant,trousers,trouser,palazzo,jeans",
Women's Fashion,Clothing,Sportswear,"sport,tights,sportswear,athletics,soprt,gym,yoga,legging",
Women's Fashion,Clothing,Lingerie,"lingerie,bodysuit,corset,sexual,babydolls,playsuits,bra,rob,camisole,chemis,bralette,cincher,bustiers,bustier,panties,shapewear,",
Women's Fashion,Clothing,Skirts,skirt,
Women's Fashion,Clothing,Jackets & Coats,"jacket,jackets,coat,coats,blazer,shrug,parka,cape,",
Women's Fashion,Clothing,Ethnic Wear,"abaya,prayer,jalabiya,hijab,scarf,galabia,galabiya,",
Women's Fashion,Clothing,Jeans,"jean,jeans,denim",
Women's Fashion,Clothing,Sleepwear,"pajama,sleepwear,nightshirt,camisole,kimono,nightdress,nightdresses,nightgown,robe,shorts,loungewear,",
Women's Fashion,Clothing,Sweamwear,"bikini,bodysuits,swim,swimsuit,swimwear,tankinis,diving,",
Women's Fashion,Clothing,Abaya,abaya,
Women's Fashion,Clothing,Hoodies,"hoodies,hoodie,hoody",
Women's Fashion,Bags,Totes & Hobos,"tote,totes,hobo,hobos,",
Women's Fashion,Bags,Cross Body Bags,"crossbody,crossover,",
Women's Fashion,Bags,Backpacks,"backpack,backpacks",
Women's Fashion,Bags,Duffle Bags & Sets,duffle,
Women's Fashion,Bags,Wallets,wallet,
Women's Fashion,Shoes,Athletic,running,shoes
Women's Fashion,Shoes,Casual Shoes,"casual,sneaker",shoes
Women's Fashion,Shoes,Heels,"heel,heels",
Women's Fashion,Shoes,Wedges,wedges,
Women's Fashion,Shoes,Flats,loafers,
Women's Fashion,Shoes,Slippers,"slippers,slides",
Women's Fashion,Shoes,Sandals,sandal,
Women's Fashion,Shoes,Boots,boot,
