,keyword,count
0,oxypas,1
1,white,68
2,loafers,1
3,&,205
4,moccasian,1
5,for,962
6,women,949
7,madleen,5
8,heels,1
9,shoe,2
10,-,338
11,black,219
12,dkny,1
13,womens,4
14,"crossbody,",1
15,(black/gold),1
16,r84er935,1
17,casual,15
18,shoes,2
19,maroon,2
20,hype,1
21,bra,103
22,"pink,",10
23,40,1
24,eu,4
25,full,12
26,sleeve,7
27,round,5
28,neck,13
29,hoodie,17
30,tommy,4
31,hilfiger,4
32,fashion,13
33,sneakers,1
34,"women,",138
35,rose,10
36,38,2
37,dress,39
38,",",271
39,182273mrn37,1
40,seera,1
41,heel,2
42,lamees,1
43,jacket,19
44,green,8
45,free,116
46,size,320
47,beige,6
48,sunshine-shop,1
49,poncho,1
50,waist,16
51,cincher,7
52,slimming,6
53,body,74
54,shaper,9
55,belt,7
56,workout,7
57,back,12
58,support,2
59,girdle,4
60,trainer,5
61,corset,49
62,weight,1
63,loss,1
64,trimmer,2
65,sauna,1
66,neoprene,1
67,tummy,1
68,ab,1
69,"shapewear,black",1
70,latex,15
71,bustiers,44
72,slim,1
73,mixed,96
74,mambo,2
75,multi,50
76,color,83
77,bikini,6
78,set,73
79,robe,20
80,miss,2
81,sixty,1
82,straight,1
83,jeans,4
84,"blue,",7
85,25,1
86,estee,1
87,lauder,1
88,youth,1
89,dew,1
90,60ml,1
91,eau,1
92,de,1
93,parfum,1
94,sandal,2
95,pink,50
96,182278pnk36,1
97,reebok,27
98,linear,2
99,logo,19
100,cotton,17
101,m,77
102,pastel,4
103,red,34
104,cosbeauty,1
105,cb-014,1
106,dry,9
107,light,19
108,hair,5
109,removal,2
110,kemei,1
111,km-2199,1
112,wet,1
113,epilators,1
114,finishing,1
115,touch,1
116,flawless,1
117,women's,162
118,shaver,1
119,electric,1
120,remover,1
121,epilator,1
122,usb,1
123,rechargeable,1
124,zaara,1
125,grey,64
126,pajama,10
127,by,3
128,gabor,1
129,gold,2
130,182278blk36,1
131,kashkha,2
132,hijab,2
133,maz,1
134,basic,2
135,coat,1
136,reem,1
137,abaya,3
138,aldokana,1
139,jalabiya,2
140,panties,1
141,navy,9
142,"uw0uw01030,",1
143,dorina,4
144,top,81
145,turquoise,2
146,"d01110m-143,",1
147,38b,1
148,sleepwear,20
149,short,41
150,bodytalk,11
151,training,34
152,pants,28
153,"s,",9
154,greymel,1
155,nightgown,4
156,materials,14
157,lasso,4
158,babydoll,84
159,and,20
160,playsuits,63
161,max,2
162,spandex,8
163,bodysuit,18
164,brown,6
165,baby,4
166,doll,2
167,mega,4
168,loungewear,2
169,xxl,5
170,wor,8
171,new,2
172,tri,1
173,aop,3
174,"top,",6
175,"maruni,",1
176,s,62
177,under,123
178,armour,133
179,sport,223
180,vans,5
181,t-shirt,91
182,fly,5
183,fast,4
184,printed,6
185,tight,19
186,"brown,",5
187,wm,1
188,tape,5
189,"tank,",8
190,(fractal,2
191,pink/white/metallic,1
192,"silver),",1
193,medium,34
194,rush,3
195,crop7,1
196,legging,10
197,nike,134
198,vrsty,2
199,tops,7
200,indigo,1
201,fog/indigo,1
202,"fog/sail,",1
203,size:,27
204,adidas,104
205,pant,42
206,"l,",6
207,"white,",16
208,dp2382,1
209,puma,80
210,lifestyle,31
211,tights,31
212,yellow,8
213,armor,1
214,tech,10
215,ssc-twist,1
216,"t-shirt,",34
217,(metallic,1
218,silver,12
219,)001),1
220,l,64
221,cinchers,2
222,babydolls,61
223,pijama,1
224,laprimavera,1
225,bige,1
226,sportswear,13
227,fleece,4
228,shorts,16
229,"black,",55
230,teknur,1
231,all,2
232,me,2
233,3-stripe,1
234,"tops,",10
235,(glow,5
236,"pink),",8
237,"medium,",12
238,12-14,5
239,converse,5
240,graffiti,4
241,star,5
242,crew,21
243,champion,28
244,leggings,31
245,"xl,",11
246,110947bs503,1
247,sleeves,12
248,829747-100,1
249,hg,6
250,mesh,11
251,ankle,1
252,crop,7
253,graph7,1
254,moon,6
255,girl,7
256,dantel,26
257,lingerie,115
258,polyester,31
259,seethrough,1
260,"purple,",4
261,nylon,16
262,playsuit,78
263,(bust,1
264,94cm),1
265,calvin,4
266,klein,4
267,bras,20
268,"cotton,",3
269,"1191-900105,",2
270,gray,8
271,vcty,3
272,comp,2
273,hbr,2
274,"bra,",4
275,black(pink,1
276,"rise/black/black/black629),",1
277,x-small,12
278,graphic,24
279,classic,8
280,sports,39
281,pitch,3
282,gray/purple,1
283,prime,1
284,"m,",3
285,miler,5
286,running,24
287,tank,44
288,"plum,",1
289,xl,56
290,cover-up,1
291,"(black/heather),",1
292,x-large/size,1
293,20-22,8
294,design,5
295,2,10
296,move,6
297,shock,2
298,velvet,2
299,nightshirts,1
300,lace,34
301,sexy,2
302,111538,3
303,kk001nbk,1
304,"leggings,",12
305,fuchsia,2
306,nsw,10
307,air,10
308,"bf,",1
309,"blue(black/white010),",4
310,large,22
311,te,3
312,french,3
313,terry,3
314,xs,62
315,heather,8
316,fila,43
317,flex,1
318,"2,",1
319,"legging,",2
320,small,20
321,marathon,2
322,20,2
323,"shorts,",6
324,(active,6
325,maroon/glow,1
326,"4""",1
327,111438,1
328,ww001wht,2
329,fitness,9
330,gym,8
331,compression,4
332,yoga,11
333,jersey,3
334,capri,2
335,bs501nny,1
336,"large,",20
337,blue,43
338,sweatshirts,7
339,the,18
340,north,12
341,face,12
342,jackets,2
343,t-shirts,17
344,"grey,",12
345,",women",1
346,",size",2
347,",white",1
348,train,3
349,sweatshirt,4
350,tnf,1
351,impact,1
352,hbr1,1
353,always,1
354,on,1
355,7,4
356,8,3
357,"wine,",3
358,t-shirtfor,1
359,g-string,21
360,g-string-black,1
361,club,2
362,skirt,5
363,"xs,",9
364,wine,1
365,capris,1
366,launch,1
367,sw,4
368,go,1
369,long,6
370,athletic,3
371,tee,13
372,pantie,8
373,ingert,13
374,bridal,7
375,nightwear,10
376,bow,2
377,spaghetti,2
378,straps,1
379,visible,1
380,front,1
381,open,1
382,tiger,1
383,pattern,1
384,122,1
385,chiffon,18
386,two,17
387,"pcs,",22
388,one,26
389,"size,",22
390,corsets,13
391,costumes,5
392,vanish,3
393,seamless,3
394,ss7,9
395,x,12
396,purple,10
397,انجل,1
398,بيبي,1
399,satin,7
400,raani,1
401,flo,2
402,ink,2
403,print,8
404,jet,4
405,gray/metallic,2
406,w,31
407,taelastika,2
408,beauty,2
409,rosy,1
410,athletics,1
411,sweat,6
412,dre,2
413,fitne,1
414,belly,9
415,look,1
416,slips,11
417,lolalover,1
418,rubber,6
419,shapewear,19
420,6,1
421,hooks,1
422,(for,1
423,women),1
424,thermal,1
425,natural,2
426,size(,1
427,"s,m,l)",1
428,kelly,1
429,contour,1
430,zip,2
431,ess,2
432,velour,1
433,"cl,",1
434,(black,12
435,"01),",4
436,"womens,",5
437,(1324144-602-m),1
438,",black",1
439,loly,1
440,feel,1
441,it,3
442,version,1
443,"nrgy,",1
444,(pink,3
